RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,12/31/2023,2/29/2024,11/30/2024
394719,328,"Jamestown, NY",msa,NY,11/30/2023,0.1,0,1.2
395153,329,"The Villages, FL",msa,FL,11/30/2023,-0.6,-2.3,-2.6
394307,330,"Albany, OR",msa,OR,11/30/2023,0,-0.2,0.2
394633,331,"Glens Falls, NY",msa,NY,11/30/2023,0.2,0,-0.3
394780,332,"Lawton, OK",msa,OK,11/30/2023,0.2,-0.3,-1.4
394474,334,"Cleveland, TN",msa,TN,11/30/2023,0.4,0.6,2.3
395098,335,"Sierra Vista, AZ",msa,AZ,11/30/2023,0,-0.3,0.1
394325,336,"Ames, IA",msa,IA,11/30/2023,-0.4,-1.2,-3.4
394824,337,"Mansfield, OH",msa,OH,11/30/2023,0.3,0.4,1.4
395128,338,"Staunton, VA",msa,VA,11/30/2023,0.1,0,-0.6
394353,339,"Augusta, ME",msa,ME,11/30/2023,0.3,0.6,3.8
394321,340,"Altoona, PA",msa,PA,11/30/2023,0.1,-0.8,-4.8
394905,341,"New Bern, NC",msa,NC,11/30/2023,0.1,0,1.1
394588,342,"Farmington, NM",msa,NM,11/30/2023,0.4,0,-2.2
395120,343,"St. Joseph, MO",msa,MO,11/30/2023,-0.2,-0.8,-2
395054,344,"San Angelo, TX",msa,TX,11/30/2023,-0.3,-0.7,-1
395218,345,"Wenatchee, WA",msa,WA,11/30/2023,-0.2,-0.4,-0.6
394949,346,"Owensboro, KY",msa,KY,11/30/2023,0.2,0,-0.5
753890,347,"Holland, MI",msa,MI,11/30/2023,0.2,0.1,-0.1
